Artigo,Data,Kg
DTY 2X70/68DEN(15.6TEX) 100%PA(PA 6.6) SO,02/11/2014,2590
ALGODAO PENT. COMPAC 40/1NE(14.9TEX) 100%CO,03/11/2014,1112
SANTE 110/72DEN(12.2TEX) 1200T 100%PES SO,03/11/2014,392
ELASTANO 50/5DEN(5.6TEX) 100%PUE SO,03/11/2014,615
DTY 150/108DEN(16.7TEX) LI 100%PES SO,03/11/2014,3603
POY 125/36DEN(13.9TEX) 100%PES SO,04/11/2014,2713
DTY 100/144DEN(11.1TEX) 2H 100%PES SO,04/11/2014,344
SDY 30DEN(3.3TEX) 100%PES SO,05/11/2014,3000
DTY 78/72DEN(8.7TEX) 100%PA(PA 6) FD,05/11/2014,2599
ALGODAO PENTEADO 26/1NE(22.7TEX) 100%CO,05/11/2014,3962
DTY 150/48DEN(16.7TEX) 100%PES  - CREME,06/11/2014,1771
LINACEO TP 300/216DEN(33.3TEX) 2H 0T 100%PES SO,06/11/2014,4738
GENTOS 65/204DEN(7.2TEX) 100%PES SO,07/11/2014,2042
ALGODAO OE 30/1NE(19.8TEX) 100%CO,08/11/2014,96
GENTOS 130/384DEN(14.4TEX) 100%PES SO,08/11/2014,2285
DTY 75/72DEN(8.3TEX) 1H MI 100%PES FD,08/11/2014,1107
FITA MX-1/69 64DEN(7.1TEX) 100%PES BR,08/11/2014,3295
DTY 75/72DEN(8.3TEX) 1H MI 100%PES FD,08/11/2014,4989
LINACEO 300/96DEN(33.3TEX) 100%PES BR,08/11/2014,386
SDY 100/36DEN(11.1TEX) 100%PES SO,09/11/2014,287
ICESPOL 145/60DEN(16.1TEX) 52%PES 48%PA SO,09/11/2014,3994
VISCOSE RS CONV. 30/1NE(19.8TEX) 100%CV,10/11/2014,57
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,10/11/2014,636
VISCOSE MVS 40/1NE(14.9TEX) 100%CV,10/11/2014,1085
ALGODAO OE 26/1NE(22.7TEX) 100%CO,11/11/2014,3907
HMY 150/288DEN(16.7TEX) 100%PES SO,12/11/2014,2246
PES FIADO 120 - 5.000mt 100%PES  - CREME,13/11/2014,4601
ELASTANO 20DEN(2.2TEX) 100%PUE BR,13/11/2014,4071
SDY 240/12DEN(26.7TEX) 100%PA SO,13/11/2014,2878
FIO MX-1/187 60DEN(6.7TEX) 65%PA 35%FIBRA METALIZADA BR,13/11/2014,1137
LINACEO TP 150/108DEN(16.7TEX) 2H 0T 100%PES SO,14/11/2014,3889
CMD/CO CONV. 30/1NE(19.8TEX) 50%CMD 50%CO,15/11/2014,1808
CONECTE 150/36DEN(16.7TEX) 800T 53%PES 47%PA SO,15/11/2014,4437
DTY 2X100/68(11.1TEX) MI 100%PA SO,15/11/2014,1200
GENTOS 65/192DEN(7.2TEX) 100%PES SO,16/11/2014,737
ALGODAO PENTEADO 30/1NE(19.8TEX) 100%CO,17/11/2014,549
FIO MX-1/69 110DEN(12.2TEX) 55%MT 45%PES BR,18/11/2014,3277
ALGODAO PENT. COMPAC 40/1NE(14.9TEX) 100%CO,18/11/2014,210
GENTOS 130/408DEN(14.4TEX) 100%PES SO,19/11/2014,2883
CV/PES CONV. 30/1NE(19.8TEX) 90%CV 10%PES,20/11/2014,2460
VISCOSE NEW FLAME 30/1NE(19.8TEX) 100%CV,21/11/2014,2216
ELASTANO 30DEN(3.3TEX) 100%PUE SO,22/11/2014,3350
RENOVA 190/60DEN(21.1TEX) 100%PES SO,23/11/2014,830
CO/CV PENT. 36/1NE(16.5TEX) 98%CO 2%CV,23/11/2014,4226
DTY 75/72DEN(8.3TEX) 1H HI 100%PES SO,23/11/2014,2336
LINACEO 167/48DEN(18.6TEX) 0T 100%PES SO,23/11/2014,486
CHUVISCO 150/48DEN(16.7TEX) 100%PES SO,24/11/2014,3293
VISCOSE OE 30/1NE(19.8TEX) 100%CV,25/11/2014,4318
DTY 2X70/68DEN(15.6TEX) HI 100%PA SO,26/11/2014,4986
ELASTANO 36DEN(4TEX) 100%PUE SO,26/11/2014,3903
CHUVISCO 40/24DEN(4.4TEX) 100%PES SO,26/11/2014,3417
DTY 150/48DEN(16.7TEX) 0T 100%PES SO,27/11/2014,4619
DTY 78/72DEN(8.7TEX) 100%PA(PA 6) FD,27/11/2014,4771
ELASTANO 19/1DEN(2.1TEX) 100%PUE SO,28/11/2014,2752
CRISPY 20DEN(2.2TEX) 100%PES SO,28/11/2014,1999
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,28/11/2014,3106
CHUVISCO 165/48DEN(18.3TEX) 100%PES SO,28/11/2014,929
FIO MX-1/69 110DEN(12.2TEX) 55%MT 45%PES BR,28/11/2014,4134
FIO MX-1/100 102DEN(11.3TEX) 60%PA 40%PES BR,29/11/2014,3640
ATY 180/96DEN(20.TEX) 100%PA(PA 6) FD,30/11/2014,2676
ALGODAO PENTEADO 40/1NE(14.9TEX) 100%CO,01/12/2014,2672
CV/PES OE 30/1NE(19.8TEX) 70%CV 30%PES,02/12/2014,934
CO/PES BLEND 30/1NE(19.8TEX) 60%CO 40%PES,03/12/2014,4682
ELASTANO 15DEN(1.7TEX) 100%PUE SO,04/12/2014,3186
ALGODAO CONV. 24/1NE(24.TEX) 100%CO,05/12/2014,656
SDY 300/10DEN(33.3TEX) 100%PES SO,05/12/2014,667
ALGODAO PENT. COMPAC 30/1NE(19.8TEX) 100%CO,06/12/2014,2129
PN 160/72DEN(17.8TEX) 100%PES SO,06/12/2014,2199
DTY 300/72DEN(33.3TEX) 100%PES SO,06/12/2014,1028
SCENE 100/24DEN(11.1TEX) 1200T 100%PA BR,07/12/2014,4263
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA OP,08/12/2014,4981
FDY 150/96DEN(16.7TEX) 100%PES SO,09/12/2014,1920
GENTOS 130/384DEN(14.4TEX) 100%PES SO,09/12/2014,4925
DTY 300/96DEN(33.3TEX) 0T 100%PES SO,09/12/2014,4329
SDY 75/36DEN(8.3TEX) 100%PES BR,10/12/2014,2906
ELASTANO 40/3DEN(4.4TEX) 100%PUE SO,11/12/2014,4259
ELASTANO 30DEN(3.3TEX) 100%PUE BR,12/12/2014,2817
DTY 75/36DEN(8.3TEX) 100%PES SO,13/12/2014,663
FIO MX-1/100 102DEN(11.3TEX) 60%PA 40%PES BR,13/12/2014,269
DTY 300/96DEN(33.3TEX) 0T 100%PES SO,14/12/2014,2733
ATY 200/96DEN(22.2TEX) 100%PA(PA 6) FD,15/12/2014,724
DTY 70/36DEN(7.8TEX) 100%PA SO,15/12/2014,3780
VISCOSE OE 30/1NE(19.8TEX) 100%CV,16/12/2014,1742
DTY 75/72DEN(8.3TEX) HI 100%PES SO,16/12/2014,4311
CHUVISCO 100/48DEN(11.1TEX) 100%PES SO,16/12/2014,2418
SDY 150/96DEN(16.7TEX) 100%PES SO,16/12/2014,4967
VISCOSE NEW FLAME 30/1NE(19.8TEX) 100%CV,17/12/2014,1524
ELASTANO 90/6DEN(10TEX) 100%PUE SO,18/12/2014,2709
DTY 300/96DEN(33.3TEX) 0T 100%PES SO,18/12/2014,407
SDY 30DEN(3.3TEX) 100%PES SO,18/12/2014,3316
DTY 150/48DEN(16.7TEX) 100%PES  - BRANCO,18/12/2014,2269
PES FIADO CONV. 50/1NE(11.9TEX) 100%PES,19/12/2014,2866
FIO MX-1/187 60DEN(6.7TEX) 65%PA 35%PES BR,19/12/2014,2681
SDY 240/12DEN(26.7TEX) 100%PES SO,19/12/2014,118
DTY 2X70/36DEN(15.6TEX) 100%PA SO,20/12/2014,953
DTY 200/96DEN(22.2TEX) 100%PES SO,21/12/2014,878
POY 125/36DEN(13.9TEX) 100%PES SO,22/12/2014,1231
ICESPIN-12 100/24DEN(11.1TEX) 1200T 100%PA SO,23/12/2014,3016
DTY 300/72DEN(33.3TEX) 100%PES SO,23/12/2014,4315
LINACEO TP 75/72DEN(8.3TEX) 2H 0T 100%PES SO,23/12/2014,2178
GENTOS 65/204DEN(7.2TEX) 100%PES SO,23/12/2014,2913
GENTOS 130/384DEN(14.4TEX) 100%PES SO,23/12/2014,1609
DTY 75/24DEN(8.3TEX) 100%PA SO,23/12/2014,888
ALGODAO PENTEADO 40/1NE(14.9TEX) 100%CO,23/12/2014,271
DTY 75/36DEN(8.3TEX) 100%PA SO,23/12/2014,1298
DTY 75/34DEN(8.3TEX) MI 100%PES SO,23/12/2014,3576
FIBRA HCS 15DX32MM 15DEN(1.7TEX) 100%PES SO,24/12/2014,4252
POY 125/72DEN(13.9TEX) 100%PES SO,24/12/2014,2306
ALGODAO PENT. COMPAC 40/1NE(14.9TEX) 100%CO,24/12/2014,352
PES FIADO CONV. 30/1NE(19.8TEX) 100%PES,25/12/2014,1326
POY 125/72DEN(13.9TEX) 100%PES SO,25/12/2014,789
CV/CO CONV. 30/1NE(19.8TEX) 60%CV 40%CO,26/12/2014,2844
DTY 300/72DEN(33.3TEX) 100%PES SO,26/12/2014,1223
DTY 150/48DEN(16.7TEX) 0T 100%PES,27/12/2014,580
PES FIADO OE 30/1NE(19.8TEX) 100%PES,28/12/2014,3817
DTY 2X160/48DEN(35.6TEX) MI 100%PES SO,29/12/2014,1168
ELASTANO 19/1DEN(2.1TEX) 100%PUE SO,30/12/2014,4371
VISCOSE CONV. 30/1NE(19.8TEX) 100%CV,31/12/2014,3729
PES/CO CONV. 30/1NE(19.8TEX) 52%PES 48%CO,31/12/2014,3790
NICOMA 20/1NE(29.7TEX) 100%PA SO,31/12/2014,2547
ELASTANO 36DEN(4TEX) 100%PUE SO,31/12/2014,1286
FIO MX-1/100 87DEN(9.7TEX) 50%MT 50%PES BR,01/01/2015,3481
CANCELADO,01/01/2015,342
ATY 160/144DEN(17.7TEX) 100%PA(PA 6) FD,01/01/2015,4534
PES FIADO 120 - 5.000mt 100%PES  - VERDE ESCURO,01/01/2015,4481
DTY 150/144DEN(16.7TEX) 2H MI 100%PES SO,02/01/2015,2124
ELASTANO 70DEN(7.8TEX) 100%PES OP,02/01/2015,1493
GENTOS 130/408DEN(14.4TEX) 100%PES SO,03/01/2015,2861
POY 500/96DEN(55.6TEX) 100%PES SO,04/01/2015,132
VISCOSE OE 36/1NE(16.5TEX) 100%CV,04/01/2015,1980
HMY 100/192DEN(11.1TEX) 100%PES SO,05/01/2015,1901
DTY 100/144DEN(11.1TEX) 2H 100%PES SO,05/01/2015,3540
SDY 200/10DEN(22.2TEX) 100%PES SO,05/01/2015,2786
SILK LIKE 78/72DEN(8.7TEX) 100%PES SO,05/01/2015,1516
ESPOL-S 150/72DEN(16.7TEX) 100%PES SO,05/01/2015,938
ESPOL-S 300/144DEN(33.3TEX) 100%PES SO,06/01/2015,2194
PES/CO/CV FUSION 30/1NE(19.8TEX) 50%PES 37%CO 13%CV,07/01/2015,2305
ESPOL-S 150/72DEN(16.7TEX) 100%PES SO,07/01/2015,1715
DTY TP 75/34DEN(8.3TEX) 2H LI 100%PES SO,07/01/2015,3173
SALDO DE POY PES100%,07/01/2015,2392
DTY 70/24DEN(7.8TEX) 100%PA SO,07/01/2015,4912
GENTOS 130/408DEN(14.4TEX) 100%PES SO,07/01/2015,2632
ELASTANO 70/5DEN(7.8TEX) 100%PUE SO,07/01/2015,464
LINACEO 150/96DEN(16.7TEX) 0T 100%PES SO,07/01/2015,691
GENTOS 65/192DEN(7.2TEX) 100%PES SO,07/01/2015,3529
VISCOSE OE 40/1NE(14.9TEX) 100%CV,08/01/2015,4903
CHUVISCO 165/48DEN(18.3TEX) 100%PES SO,08/01/2015,2656
ELASTANO 70/5DEN(7.8TEX) 100%PUE SO,08/01/2015,1889
ATY 200/144DEN(22.2TEX) 100%PA(PA 6) FD,09/01/2015,3328
DTY 150/48DEN(16.7TEX) 100%PES,10/01/2015,1615
DTY 150/96DEN(16.7TEX) LI 100%PES SO,11/01/2015,665
SDY 20DEN(2.2TEX) 100%PES BR,11/01/2015,4031
SDY 50/1DEN(5.6TEX) 100%PES SO,12/01/2015,3131
PES/CV CONV. 40/1NE(14.9TEX) 65%PES 35%CV,12/01/2015,932
FIBRA HCS 15DX32MM 15DEN(1.7TEX) 100%PES SO,12/01/2015,4468
ELASTANO 20DEN(2.2TEX) 100%PUE SO,13/01/2015,4079
FIO MX-1/100 87DEN(9.7TEX) 52%PES 48%PA BR,14/01/2015,3047
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,15/01/2015,1687
SDY 240/12DEN(26.7TEX) 100%PES BR,16/01/2015,4195
DTY 75/72DEN(8.3TEX) 1H HI 100%PES SO,16/01/2015,1012
DTY 150/108DEN(16.7TEX) LI 100%PES SO,16/01/2015,121
PP 360/64DEN(40TEX) 100%PP SO,16/01/2015,3427
NICOMA 20/1NE(29.7TEX) 100%PA SO,17/01/2015,3667
POY 500/96DEN(55.6TEX) 100%PES SO,18/01/2015,617
SDY 20DEN(2.2TEX) 100%PES SO,18/01/2015,2298
BAMBOO CONV. 32/1NE(18.6TEX) 100%CV,19/01/2015,4614
CO/PES BLEND 30/1NE(19.8TEX) 60%CO 40%PES,20/01/2015,3979
PES/CV MVS 28/1NE(21.2TEX) 67%PES 33%CV,20/01/2015,1919
DTY 70/48DEN(7.8TEX) 100%PA FD,21/01/2015,58
FIO MX-1/69 108DEN(12TEX) 100%PA BR,22/01/2015,3242
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,22/01/2015,4785
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,23/01/2015,2725
CV/CL CONV. 30/1NE(19.8TEX) 85%CV 15%CL,23/01/2015,468
PES/CV CONV. 30/1NE(19.8TEX) 65%PES 35%CV,23/01/2015,568
ELASTANO 70DEN(7.8TEX) 100%PUE BR,23/01/2015,234
SDY 75/24DEN(8.3TEX) 100%PES SO,24/01/2015,3060
CRISPY 20DEN(2.2TEX) 100%PES SO,25/01/2015,1585
SDY 150/48DEN(16.7TEX) 100%PES BR,25/01/2015,148
GENTOS 130/408DEN(14.4TEX) 100%PES SO,25/01/2015,707
POY 500/96DEN(55.6TEX) 100%PES SO,25/01/2015,3528
PES FIADO CONV. 30/1NE(19.8TEX) 100%PES,26/01/2015,2826
CV/CL CONV. 30/1NE(19.8TEX) 90%CV 10%CL,27/01/2015,963
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA OP,28/01/2015,3767
SDY 240/12DEN(26.7TEX) 100%PES SO,28/01/2015,1602
LINACEO 300/96DEN(33.3TEX) 0T 100%PES SO,28/01/2015,2141
NICOMA 20/1NE(29.7TEX) 100%PA SO,28/01/2015,4938
DTY 150/108DEN(16.7TEX) 2H MI 100%PES SO,29/01/2015,3679
ELASTANO 20/2DEN(2.2TEX) 100%PUE SO,29/01/2015,2448
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,29/01/2015,2729
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,30/01/2015,1637
ELASTANO 70/5DEN(7.8TEX) 100%PUE SO,30/01/2015,4062
PES FIADO CONV. 60/1NE(9.9TEX) 100%PES,31/01/2015,2833
SCENE 100/24DEN(11.1TEX) 1200T 100%PA BR,01/02/2015,4126
DTY 75/72DEN(8.3TEX) MI 100%PES SO,01/02/2015,3930
VISCOSE OE 30/1NE(19.8TEX) 100%CV,01/02/2015,3593
PAC/WO CONV. 24/1NE(24.TEX) 90%PAC 10%WO,02/02/2015,4711
ATY 200/144DEN(22.2TEX) 100%PA(PA 6) FD,02/02/2015,2433
ALGODAO OE 30/1NE(19.8TEX) 100%CO,03/02/2015,2664
LINACEO TP 75/72DEN(8.3TEX) 2H 0T 100%PES SO,04/02/2015,737
DTY TP 75/34DEN(8.3TEX) 2H LI 100%PES SO,05/02/2015,2882
LINACEO TP 150/108DEN(16.7TEX) 2H 0T 100%PES SO,06/02/2015,4061
BAMBOO CONV. 30/1NE(19.8TEX) 67%CV 33%PA,06/02/2015,2843
ESPOL-S 150/72DEN(16.7TEX) 100%PES SO,06/02/2015,2260
CHUVISCO 162/48DEN(18TEX) 100%PES SO,06/02/2015,4364
PES/CV MVS 40/1NE(14.9TEX) 67%PES 33%CV,07/02/2015,1203
CHUVISCO 165/48DEN(18.3TEX) 100%PES SO,08/02/2015,4362
FORBES 6 370/99DEN(41.1TEX) 94%PES 6%PUE SO,08/02/2015,144
FIO MX-1/100 55DEN(6.1TEX) 59%PA 41%PES BR,08/02/2015,415
FIO MX-1/100 87DEN(9.7TEX) 65%PES 35%PA BR,09/02/2015,2981
ELASTANO 70DEN(7.8TEX) 100%PUE SO,10/02/2015,919
ALGODAO PENTEADO 26/1NE(22.7TEX) 100%CO,11/02/2015,1308
DTY 70/36DEN(7.8TEX) 100%PA SO,12/02/2015,4948
ATY 200/96DEN(22.2TEX) 100%PA(PA 6) FD,12/02/2015,4438
POY 125/72DEN(13.9TEX) 100%PES SO,13/02/2015,4256
DTY 75/72DEN(8.3TEX) 2H MI 100%PES SO,13/02/2015,3891
ESPOL-S 300/144DEN(33.3TEX) 100%PES SO,14/02/2015,3010
SDY 100/34DEN(11.1TEX) 100%PES SO,15/02/2015,3265
VISCOSE MVS 40/1NE(14.9TEX) 100%CV,16/02/2015,4863
VISCOSE OE 36/1NE(16.5TEX) 100%CV,17/02/2015,812
FINE 80/48DEN(8.9TEX) 100%PES SO,18/02/2015,4526
PES FIADO CONV. 60/1NE(9.9TEX) 100%PES,18/02/2015,4768
CV/PA CONV. 30/1NE(19.8TEX) 70%CV 30%PA,19/02/2015,1219
DTY 75/72DEN(8.3TEX) 1H HI 100%PES SO,20/02/2015,2459
PES FIADO 120 - 5.000mt 100%PES  - VERDE ESCURO,21/02/2015,4998
GENTOS 65/192DEN(7.2TEX) 100%PES SO,22/02/2015,2907
SANTE 110/72DEN(12.2TEX) 1200T 100%PES SO,22/02/2015,291
CV/CL CONV. 30/1NE(19.8TEX) 90%CV 10%CL,23/02/2015,2647
CV/WO CONV. 30/1NE(19.8TEX) 80%CV 20%WO,24/02/2015,1705
FIO MX-1/100 102DEN(11.3TEX) 60%PA 40%PES BR,25/02/2015,1227
ELASTANO 19/1DEN(2.1TEX) 100%PUE SO,26/02/2015,4329
POY 125/72DEN(13.9TEX) 100%PES SO,27/02/2015,3184
DTY 78/72DEN(8.7TEX) 100%PA(PA 6) FD,28/02/2015,3959
VISCOSE FLAME 30/1NE(19.8TEX) 100%CV,01/03/2015,4430
PEACH SKIN 135/108DEN(15.0TEX) MI 100%PES SO,01/03/2015,2643
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,02/03/2015,3872
SDY 100/34DEN(11.1TEX) 100%PES SO,02/03/2015,1323
PES FIADO 120 - 5.000mt 100%PES  - BRANCO,02/03/2015,4980
ELASTANO 70DEN(7.8TEX) 100%PUE SO,02/03/2015,669
SDY 20DEN(2.2TEX) 100%PES BR,02/03/2015,4261
ELASTANO 15DEN(1.7TEX) 100%PUE BR,02/03/2015,476
SDY 45/36DEN(5TEX) 100%PES SO,03/03/2015,2393
DTY 2X70/68DEN(15.6TEX) HI 100%PA SO,03/03/2015,3756
DYE BLUE 90/21DEN(10TEX) 94%PA 6%PUE SO,03/03/2015,1382
DTY 190/51DEN(21.1TEX) 1H LI 100%PES SO,03/03/2015,4658
DTY 70/36DEN(7.8TEX) 0T 100%PES SO,03/03/2015,1167
LINACEO 300/96DEN(33.3TEX) 0T 100%PES SO,03/03/2015,903
DTY 75/72DEN(8.3TEX) HI 100%PES SO,03/03/2015,988
POY CATIONICO 130/72DEN(14.4TEX) 100%PES SO,03/03/2015,1312
CONECTE 150/36DEN(16.7TEX) 800T 53%PES 47%PA SO,04/03/2015,3842
SALDO DE PUE,04/03/2015,2890
SDY 30DEN(3.3TEX) 100%PES SO,05/03/2015,556
FIO MX-1/139 65DEN(7.2TEX) 52%PA 48%FIBRA METALIZADA BR,05/03/2015,4907
ALGODAO PENTEADO 36/1NE(16.5TEX) 100%CO,06/03/2015,992
SDY 50/1DEN(5.6TEX) 100%PES SO,06/03/2015,511
PES FIADO 120 - 5.000mt 100%PES  - VERDE ESCURO,06/03/2015,2746
DTY 2X70/68DEN(15.6TEX) HI 100%PA SO,06/03/2015,2795
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,07/03/2015,3572
DTY 150/48DEN(16.7TEX) 100%PES SO,08/03/2015,295
DTY 300/96DEN(33.3TEX) 2H 0T 100%PES SO,09/03/2015,2092
ALGODAO PENT. COMPAC 30/1NE(19.8TEX) 100%CO,10/03/2015,4981
ELASTANO 40DEN(4.4TEX) 100%PUE BR,11/03/2015,2633
ATY 180/96DEN(20.TEX) 100%PA(PA 6) FD,12/03/2015,2761
ALGODAO PENTEADO 36/1NE(16.5TEX) 100%CO,13/03/2015,871
PES FIADO CONV. 50/1NE(11.9TEX) 100%PES,13/03/2015,1788
CV/WO CONV. 30/1NE(19.8TEX) 80%CV 20%WO,14/03/2015,711
ELASTANO 36DEN(4TEX) 100%PUE SO,15/03/2015,999
CV/CL CONV. 30/1NE(19.8TEX) 80%CV 20%CL,16/03/2015,1859
CV/PES OE 30/1NE(19.8TEX) 70%CV 30%PES,16/03/2015,1618
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,17/03/2015,2517
DTY 70/36DEN(7.8TEX) 0T 100%PES SO,18/03/2015,3164
SALDO DE POY PES100%,19/03/2015,2077
CHUVISCO 165/48DEN(18.3TEX) 100%PES SO,19/03/2015,3622
PES/CV MVS 28/1NE(21.2TEX) 65%PES 35%CV,19/03/2015,804
PES FIADO CONV. 50/1NE(11.9TEX) 100%PES,20/03/2015,3461
DTY 75/144DEN(8.3TEX) 2H 100%PES SO,20/03/2015,222
DTY 78/72DEN(8.7TEX) 100%PA(PA 6) FD,20/03/2015,4843
DTY 75/34DEN(8.3TEX) 2H 0T 100%PES SO,20/03/2015,1778
SDY 240/12DEN(26.7TEX) 100%PES SO,21/03/2015,4760
DTY 2X75/72DEN(16.7TEX) MI 100%PES SO,21/03/2015,734
DTY 75/72DEN(8.3TEX) LI 100%PES SO,21/03/2015,2573
HMY 150/288DEN(16.7TEX) 100%PES SO,22/03/2015,3241
DTY 2X160/48DEN(35.6TEX) MI 100%PES SO,22/03/2015,3434
DTY 2X100/68(11.1TEX) MI 100%PA SO,23/03/2015,3695
CRISPY 20DEN(2.2TEX) 100%PES SO,24/03/2015,4607
FIO MX-1/100 87DEN(9.7TEX) 50%MT 50%PES BR,24/03/2015,3415
VISCOSE MVS 40/1NE(14.9TEX) 100%CV,24/03/2015,1123
PES FIADO OE 40/1NE(14.9TEX) 100%PES,25/03/2015,2197
SDY 150/48DEN(16.7TEX) 100%PES BR,25/03/2015,808
PES/CV MVS 20/1NE(29.7TEX) 65%PES 35%CV,25/03/2015,4860
ELASTANO 40DEN(4.4TEX) 100%PUE SO,26/03/2015,53
AMOSTRAS DE FIOS TXT 100%PA BOBINA CRU,26/03/2015,2996
POY 500/96DEN(55.6TEX) 100%PES SO,27/03/2015,655
CV/CL/CO CONV. 30/1NE(19.8TEX) 80%CV 10%CL 10%CO,27/03/2015,1869
LINACEO TP 75/72DEN(8.3TEX) 2H 0T 100%PES SO,28/03/2015,3842
LINACEO TP 300/216DEN(33.3TEX) 2H 0T 100%PES SO,29/03/2015,2669
DTY 70/36DEN(7.8TEX) 0T 100%PES SO,29/03/2015,4241
DTY 70/48DEN(7.8TEX) 100%PA FD,30/03/2015,2237
CV/WO CONV. 30/1NE(19.8TEX) 80%CV 20%WO,30/03/2015,2326
CV/CL CONV. 30/1NE(19.8TEX) 90%CV 10%CL,31/03/2015,1947
TREND-R 207/51DEN(23TEX) 93%PES 7%PUE SO,31/03/2015,4991
CHUVISCO 100/48DEN(11.1TEX) 100%PES SO,01/04/2015,2647
LINACEO 300/96DEN(33.3TEX) 100%PES BR,02/04/2015,4351
DTY TP 75/34DEN(8.3TEX) 2H LI 100%PES SO,03/04/2015,653
CO/PES PENTEADO 30/1NE(19.8TEX) 50%CO 50%PES,03/04/2015,4292
CV/PA CONV. 30/1NE(19.8TEX) 70%CV 30%PA,04/04/2015,1218
DTY 2X70/72DEN(15.6TEX) 100%PA(PA 6) FD,04/04/2015,760
CO/PES BLEND 30/1NE(19.8TEX) 60%CO 40%PES,04/04/2015,4564
FIO MX-1/100 140DEN(15.6TEX) 65%PES 35%PA BR,05/04/2015,1776
SDY 75/24DEN(8.3TEX) 100%PES SO,05/04/2015,1912
DTY 150/48DEN(16.7TEX) 2H 0T 100%PES SO,05/04/2015,3778
ELASTANO 30/2DEN(3.3TEX) 100%PUE SO,06/04/2015,2422
FIBRA HCS 7DX32MM 7DEN(0.8TEX) 100%PES SO,06/04/2015,340
PES/CV MVS 30/1NE(19.8TEX) 65%PES 35%CV,07/04/2015,3828
PES FIADO CONV. 30/1NE(19.8TEX) 100%PES,08/04/2015,3777
ALGODAO OE 26/1NE(22.7TEX) 100%CO,08/04/2015,2588
TREND-R 207/51DEN(23TEX) 93%PES 7%PUE SO,09/04/2015,4261
ELASTANO 36DEN(4TEX) 100%PUE SO,10/04/2015,798
SDY 240/12DEN(26.7TEX) 100%PES BR,10/04/2015,3183
VISCOSE OE 30/1NE(19.8TEX) 100%CV,11/04/2015,4964
DTY 75/34DEN(8.3TEX) 2H 0T 100%PES SO,11/04/2015,78
LINACEO 300/96DEN(33.3TEX) 0T 100%PES SO,12/04/2015,3377
SDY 240/12DEN(26.7TEX) 100%PES SO,13/04/2015,2182
SDY 150/96DEN(16.7TEX) 100%PES SO,13/04/2015,2010
DTY 75/72DEN(8.3TEX) 1H HI 100%PES SO,13/04/2015,2971
PES/CV CONV. 28/1NE(21.2TEX) 65%PES 35%CV,14/04/2015,1700
ELASTANO 36DEN(4TEX) 100%PUE SO,15/04/2015,1205
HMY 150/288DEN(16.7TEX) 100%PES SO,15/04/2015,528
CV/PES CONV. 30/1NE(19.8TEX) 55%CV 45%PES,16/04/2015,562
POY CATIONICO 250/48DEN(27.8TEX) 100%PES SO,16/04/2015,4962
CV/CL CONV. 30/1NE(19.8TEX) 80%CV 20%CL,16/04/2015,3414
DTY 190/51DEN(21.1TEX) 1H LI 100%PES SO,17/04/2015,4588
FORBES 6 370/99DEN(41.1TEX) 94%PES 6%PUE SO,18/04/2015,1678
HMY 100/192DEN(11.1TEX) 100%PES SO,18/04/2015,4360
DTY 190/51DEN(21.1TEX) 1H LI 100%PES SO,19/04/2015,2877
ALGODAO CONV. 24/1NE(24.TEX) 100%CO,20/04/2015,3545
CONECTE 150/36DEN(16.7TEX) 800T 53%PES 47%PA SO,20/04/2015,3518
SDY 30DEN(3.3TEX) 100%PES SO,21/04/2015,663
DTY 75/72DEN(8.3TEX) 1H MI 100%PES FD,21/04/2015,1305
DTY 200/96DEN(22.2TEX) 100%PES SO,21/04/2015,237
POY CATIONICO 130/72DEN(14.4TEX) 100%PES SO,21/04/2015,2222
FIO MX-1/100 87DEN(9.7TEX) 50%MT 50%PES BR,22/04/2015,992
POY CATIONICO 130/72DEN(14.4TEX) 100%PES SO,23/04/2015,4951
ELASTANO 20/2DEN(2.2TEX) 100%PUE SO,23/04/2015,2954
ELASTANO 840DEN(93.3TEX) 100%PUE SO,24/04/2015,869
ALGODAO PENTEADO 26/1NE(22.7TEX) 100%CO,24/04/2015,3276
CV/CL CONV. 30/1NE(19.8TEX) 90%CV 10%CL,24/04/2015,812
POY 250/96DEN(27.8TEX) 100%PES SO,25/04/2015,2643
ELASTANO 20/1DEN(2.2TEX) 100%PUE SO,25/04/2015,3511
DTY 2X70/68DEN(15.6TEX) 100%PA(PA 6.6) SO,26/04/2015,630
VISCOSE CONV. 30/1NE(19.8TEX) 100%CV,26/04/2015,3568
SALDO DE POY PES100%,26/04/2015,1623
CV/CL CONV. 30/1NE(19.8TEX) 80%CV 20%CL,26/04/2015,1359
